Tmax	Tmin	Tav	VPD	Rain	Solar rad	Rain Days	Frost Days	Ca	D13Catm
-8.73	-20.24	-14.74	1.09	95.7	1.08	18	31	314.69	-7.28 
1.71	-3.8	-1.53	1.51	87.7	1.4	15	17.6	314.69	-7.32 
4.18	-3.92	-0.32	3.11	158.6	5.52	20	17.8	314.69	-7.38 
11.37	1.97	6.31	6.33	115.4	11.04	12	8.5	314.69	-7.43 
11.24	2.82	6.77	5.68	24.6	13.29	15	7.2	314.69	-7.44 
14.95	6	10.07	7.77	63.6	19.58	11	2.2	314.69	-7.31 
21.91	10.56	16.39	14.7	34.7	23.13	3	0	314.69	-7.03 
22.29	10.08	15.86	15.88	0	18.61	5	0	314.69	-6.81 
15.44	6.29	10.54	8.18	76.9	10.06	7	1.7	314.69	-6.85 
6.79	-0.3	2.5	3.38	96.3	3.93	5	12.1	314.69	-7.02 
1.32	-4.37	-2.6	1.51	187.1	1.06	15	18.5	314.69	-7.19 
-3.86	-9.11	-6.9	0.6	184.6	0.04	16	25.9	314.69	-7.27 
-1.08	-4.81	-3.62	0.42	95.7	0.43	16	19.2	314.69	-7.29 
0.09	-5.8	-3.5	1.37	87.7	1.81	15	20.7	314.69	-7.33 
3.56	-2.34	-0.22	2.02	158.6	4.24	21	15.3	314.69	-7.39 
8.66	0.26	3.28	4.67	115.4	10.52	17	11.2	314.69	-7.43 
14.61	5.71	9.06	7.56	24.6	15.89	15	2.7	314.69	-7.45 
16.36	8.9	11.49	7.25	63.6	16.03	6	0	314.69	-7.32 
22.44	10.82	15.95	15.44	34.7	22.42	1	0	314.69	-7.03 
21.73	9.58	15.66	15.3	0	19.42	3	0	314.69	-6.82 
14.37	6.34	10.03	6.78	76.9	8.82	4	1.7	314.69	-6.86 
9.52	-0.01	4.91	5.59	96.3	5.39	8	11.6	314.69	-7.03 
-1.08	-6.65	-3.77	1.08	187.1	1.03	20	22.1	314.69	-7.19 
-2.73	-8.63	-5.21	0.94	184.6	0.08	18	25.2	314.69	-7.28 
-4.35	-9.21	-6.81	0.44	154.8	0.57	20	26.1	314.69	-7.29 
-2.62	-9.96	-5.92	1.36	147.4	2.63	17	27.3	314.69	-7.34 
1.32	-4.19	-1.77	1.44	243.7	3.51	8	18.2	314.69	-7.39 
7.95	1.31	4.54	3.48	68.9	8.33	12	9.6	314.69	-7.44 
11.66	4.57	7.97	4.97	141.5	13.81	16	4.4	314.69	-7.45 
17.7	9	12.97	9.09	21.1	20.37	10	0	314.69	-7.33 
19.15	10.47	15.11	9.96	13.7	19.37	4	0	314.69	-7.04 
19.94	10.5	15.32	11.24	11.5	15.98	6	0	314.69	-6.83 
16.81	4.05	11.05	11.67	6.5	13.56	11	5.3	314.69	-6.87 
8.44	2.4	5.13	3.26	133.1	4.45	13	7.8	314.69	-7.03 
3.46	0.47	1.47	0.58	277.4	0.32	12	10.9	314.69	-7.20 
-4.42	-10.59	-7.77	0.78	161.5	0.12	16	28.3	314.69	-7.29 
-2.76	-7.05	-5.07	0.44	209.2	0.45	15	22.7	314.69	-7.30 
-4.89	-11.66	-8.19	0.86	94.6	2.04	8	29.9	314.69	-7.34 
2.73	-3.03	-0.15	1.8	74.3	4.55	15	16.4	314.69	-7.40 
7.56	-0.39	3.62	4.05	22.6	11.27	11	12.2	314.69	-7.44 
9.8	2.21	6	4.61	59.3	14.21	13	8.1	314.69	-7.46 
16.61	8.97	13.06	7.53	93.9	18.82	11	0	314.69	-7.33 
21.82	9.98	16.38	15.1	17.6	25.16	3	0	314.69	-7.04 
21.07	10.73	16.36	12.98	20.6	17.39	3	0	314.69	-6.83 
13.16	5.11	9.37	6.25	83.2	9.61	2	3.6	314.69	-6.87 
10.88	2.48	6.69	5.51	254	5.36	13	7.7	314.69	-7.04 
3.82	-1.31	1.11	1.72	86.6	1.23	15	13.7	314.69	-7.20 
1.15	-1.69	-1.1	0.27	497.3	0.04	16	14.3	314.69	-7.29 
1.28	-2.45	-1.02	0.69	181.7	0.38	26	15.5	314.69	-7.31 
4.71	-3.16	0.72	3.16	16.3	3.15	11	16.6	314.69	-7.35 
8.06	-0.16	4	4.36	170	7.35	15	11.9	314.69	-7.40 
13.17	3.65	8.36	7.26	66.1	12.93	12	5.9	314.69	-7.45 
15.6	6.83	11.23	7.98	55.7	17.13	6	0.9	314.69	-7.47 
16.56	9.14	12.59	7.31	99.4	18.77	6	0	314.69	-7.34 
21.16	11.17	16.38	12.69	3	23.15	1	0	314.69	-7.05 
22.05	9.6	16.19	15.87	0	20.83	5	0	314.69	-6.84 
