Year	Month	treering	D13C
1930	Jan	-9999	-9999
1930	Feb	-9999	-9999
1930	March	-9999	-9999
1930	April	-9999	-9999
1930	May	-9999	-9999
1930	June	-9999	-9999
1930	July	-9999	-9999
1930	Aug	-9999	-9999
1930	Sep	-9999	-9999
1930	Oct	-9999	-9999
1930	Nov	-9999	-9999
1930	Dec	-9999	-9999
1931	Jan	-9999	-9999
1931	Feb	-9999	-9999
1931	March	-9999	-9999
1931	April	-9999	-9999
1931	May	-9999	-9999
1931	June	-9999	-9999
1931	July	-9999	-9999
1931	Aug	-9999	-9999
1931	Sep	-9999	-9999
1931	Oct	-9999	-9999
1931	Nov	-9999	-9999
1931	Dec	-9999	-9999
1932	Jan	-9999	-9999
1932	Feb	-9999	-9999
1932	March	-9999	-9999
1932	April	-9999	-9999
1932	May	-9999	-9999
1932	June	-9999	-9999
1932	July	-9999	-9999
1932	Aug	-9999	-9999
1932	Sep	-9999	-9999
1932	Oct	-9999	-9999
1932	Nov	-9999	-9999
1932	Dec	-9999	-9999
1933	Jan	-9999	-9999
1933	Feb	-9999	-9999
1933	March	-9999	-9999
1933	April	-9999	-9999
1933	May	-9999	-9999
1933	June	-9999	-9999
1933	July	-9999	-9999
1933	Aug	-9999	-9999
1933	Sep	-9999	-9999
1933	Oct	-9999	-9999
1933	Nov	-9999	-9999
1933	Dec	-9999	-9999
1934	Jan	-9999	-9999
1934	Feb	-9999	-9999
1934	March	-9999	-9999
1934	April	-9999	-9999
1934	May	-9999	-9999
1934	June	-9999	-9999
1934	July	-9999	-9999
1934	Aug	-9999	-9999
1934	Sep	-9999	-9999
1934	Oct	-9999	-9999
1934	Nov	-9999	-9999
1934	Dec	-9999	-9999
1935	Jan	-9999	-9999
1935	Feb	-9999	-9999
1935	March	-9999	-9999
1935	April	-9999	-9999
1935	May	-9999	-9999
1935	June	-9999	-9999
1935	July	-9999	-9999
1935	Aug	-9999	-9999
1935	Sep	-9999	-9999
1935	Oct	-9999	-9999
1935	Nov	-9999	-9999
1935	Dec	-9999	-9999
1936	Jan	-9999	-9999
1936	Feb	-9999	-9999
1936	March	-9999	-9999
1936	April	-9999	-9999
1936	May	-9999	-9999
1936	June	-9999	-9999
1936	July	-9999	-9999
1936	Aug	-9999	-9999
1936	Sep	-9999	-9999
1936	Oct	-9999	-9999
1936	Nov	-9999	-9999
1936	Dec	-9999	-9999
1937	Jan	-9999	-9999
1937	Feb	-9999	-9999
1937	March	-9999	-9999
1937	April	-9999	-9999
1937	May	-9999	-9999
1937	June	-9999	-9999
1937	July	-9999	-9999
1937	Aug	-9999	-9999
1937	Sep	-9999	-9999
1937	Oct	-9999	-9999
1937	Nov	-9999	-9999
1937	Dec	-9999	-9999
1938	Jan	-9999	-9999
1938	Feb	-9999	-9999
1938	March	-9999	-9999
1938	April	-9999	-9999
1938	May	-9999	-9999
1938	June	-9999	-9999
1938	July	-9999	-9999
1938	Aug	-9999	-9999
1938	Sep	-9999	-9999
1938	Oct	-9999	-9999
1938	Nov	-9999	-9999
1938	Dec	-9999	-9999
1939	Jan	-9999	-9999
1939	Feb	-9999	-9999
1939	March	-9999	-9999
1939	April	-9999	-9999
1939	May	-9999	-9999
1939	June	-9999	-9999
1939	July	-9999	-9999
1939	Aug	-9999	-9999
1939	Sep	-9999	-9999
1939	Oct	-9999	-9999
1939	Nov	-9999	-9999
1939	Dec	-9999	-9999
1940	Jan	-9999	-9999
1940	Feb	-9999	-9999
1940	March	-9999	-9999
1940	April	-9999	-9999
1940	May	-9999	-9999
1940	June	-9999	-9999
1940	July	-9999	-9999
1940	Aug	-9999	-9999
1940	Sep	-9999	-9999
1940	Oct	-9999	-9999
1940	Nov	-9999	-9999
1940	Dec	-9999	-9999
1941	Jan	-9999	-9999
1941	Feb	-9999	-9999
1941	March	-9999	-9999
1941	April	-9999	-9999
1941	May	-9999	-9999
1941	June	-9999	-9999
1941	July	-9999	-9999
1941	Aug	-9999	-9999
1941	Sep	-9999	-9999
1941	Oct	-9999	-9999
1941	Nov	-9999	-9999
1941	Dec	-9999	-9999
